video_path,window_idx,label,score
AVLips/0_real/0.mp4,0,0,0.6775975227355957
AVLips/0_real/0.mp4,1,0,0.6468062996864319
AVLips/0_real/0.mp4,2,0,0.6588776111602783
AVLips/0_real/0.mp4,3,0,0.6739939451217651
AVLips/0_real/0.mp4,4,0,0.6667366027832031
AVLips/0_real/0.mp4,5,0,0.6419724225997925
AVLips/0_real/0.mp4,6,0,0.6425269246101379
AVLips/0_real/0.mp4,7,0,0.7148535847663879
AVLips/0_real/0.mp4,8,0,0.6911152601242065
AVLips/0_real/0.mp4,9,0,0.6864523887634277
AVLips/1_fake/0.mp4,0,1,0.6887543797492981
AVLips/1_fake/0.mp4,1,1,0.6168004870414734
AVLips/1_fake/0.mp4,2,1,0.6735216379165649
AVLips/1_fake/0.mp4,3,1,0.6217907071113586
AVLips/1_fake/0.mp4,4,1,0.6187623143196106
AVLips/1_fake/0.mp4,5,1,0.624663233757019
AVLips/1_fake/0.mp4,6,1,0.708726704120636
AVLips/1_fake/0.mp4,7,1,0.6486427783966064
AVLips/1_fake/0.mp4,8,1,0.6638551950454712
AVLips/1_fake/0.mp4,9,1,0.6816030144691467
