video_path,window_idx,label,score
AVLips/0_real/0.mp4,0,0,0.6368384957313538
AVLips/0_real/0.mp4,1,0,0.5092120170593262
AVLips/0_real/0.mp4,2,0,0.5994628667831421
AVLips/0_real/0.mp4,3,0,0.723804771900177
AVLips/0_real/0.mp4,4,0,0.6920074224472046
AVLips/0_real/0.mp4,5,0,0.8172016739845276
AVLips/0_real/0.mp4,6,0,0.9203636050224304
AVLips/0_real/0.mp4,7,0,0.42320334911346436
AVLips/0_real/0.mp4,8,0,0.8589334487915039
AVLips/0_real/0.mp4,9,0,0.8395481109619141
AVLips/0_real/1.mp4,0,0,0.008089213632047176
AVLips/0_real/1.mp4,1,0,0.04608211666345596
AVLips/0_real/1.mp4,2,0,0.00030100494041107595
AVLips/0_real/1.mp4,3,0,0.002147030783817172
AVLips/0_real/1.mp4,4,0,0.0018964145565405488
AVLips/0_real/1.mp4,5,0,0.061497967690229416
AVLips/0_real/1.mp4,6,0,0.19372904300689697
AVLips/0_real/1.mp4,7,0,0.10480224341154099
AVLips/0_real/1.mp4,8,0,0.010953253135085106
AVLips/0_real/1.mp4,9,0,0.021549543365836143
AVLips/0_real/10.mp4,0,0,0.16732849180698395
AVLips/0_real/10.mp4,1,0,0.012729202397167683
AVLips/0_real/10.mp4,2,0,0.0031051328405737877
AVLips/0_real/10.mp4,3,0,0.002530372003093362
AVLips/0_real/10.mp4,4,0,0.0008125652675516903
AVLips/0_real/10.mp4,5,0,0.0009322393452748656
AVLips/0_real/10.mp4,6,0,0.7646893262863159
AVLips/0_real/10.mp4,7,0,0.20389945805072784
AVLips/0_real/10.mp4,8,0,0.19277742505073547
AVLips/0_real/10.mp4,9,0,0.8447577953338623
AVLips/0_real/100.mp4,0,0,0.7814396619796753
AVLips/0_real/100.mp4,1,0,0.6246495246887207
AVLips/0_real/100.mp4,2,0,0.31861308217048645
AVLips/0_real/100.mp4,3,0,0.30539849400520325
AVLips/0_real/100.mp4,4,0,0.15347178280353546
AVLips/0_real/100.mp4,5,0,0.28666871786117554
