video_path,window_idx,label,score
AVLips/0_real/0.mp4,0,0,0.6775975227355957
AVLips/0_real/0.mp4,1,0,0.6468062996864319
AVLips/0_real/0.mp4,2,0,0.6588776111602783
AVLips/0_real/0.mp4,3,0,0.6739939451217651
AVLips/0_real/0.mp4,4,0,0.6667366027832031
AVLips/0_real/0.mp4,5,0,0.6419724225997925
AVLips/0_real/0.mp4,6,0,0.6425269246101379
AVLips/0_real/0.mp4,7,0,0.7148535847663879
AVLips/0_real/0.mp4,8,0,0.6911152601242065
AVLips/0_real/0.mp4,9,0,0.6864523887634277
AVLips/0_real/1.mp4,0,0,0.5680850148200989
AVLips/0_real/1.mp4,1,0,0.5181873440742493
AVLips/0_real/1.mp4,2,0,0.5692407488822937
AVLips/0_real/1.mp4,3,0,0.5919492244720459
AVLips/0_real/1.mp4,4,0,0.5599955320358276
AVLips/0_real/1.mp4,5,0,0.5614913702011108
AVLips/0_real/1.mp4,6,0,0.6324931979179382
AVLips/0_real/1.mp4,7,0,0.5387850403785706
AVLips/0_real/1.mp4,8,0,0.5351932048797607
AVLips/0_real/1.mp4,9,0,0.48093485832214355
AVLips/1_fake/0.mp4,0,1,0.6887543797492981
AVLips/1_fake/0.mp4,1,1,0.6168004870414734
AVLips/1_fake/0.mp4,2,1,0.6735216379165649
AVLips/1_fake/0.mp4,3,1,0.6217907071113586
AVLips/1_fake/0.mp4,4,1,0.6187623143196106
AVLips/1_fake/0.mp4,5,1,0.624663233757019
AVLips/1_fake/0.mp4,6,1,0.7087252736091614
AVLips/1_fake/0.mp4,7,1,0.6486406922340393
AVLips/1_fake/0.mp4,8,1,0.6638560891151428
AVLips/1_fake/0.mp4,9,1,0.681602418422699
AVLips/1_fake/1.mp4,0,1,0.4901341199874878
AVLips/1_fake/1.mp4,1,1,0.526954174041748
AVLips/1_fake/1.mp4,2,1,0.6093717813491821
AVLips/1_fake/1.mp4,3,1,0.523678719997406
AVLips/1_fake/1.mp4,4,1,0.5498741269111633
AVLips/1_fake/1.mp4,5,1,0.581940233707428
AVLips/1_fake/1.mp4,6,1,0.597629189491272
AVLips/1_fake/1.mp4,7,1,0.5196148157119751
AVLips/1_fake/1.mp4,8,1,0.5175917148590088
AVLips/1_fake/1.mp4,9,1,0.523593008518219
