step,epoch,batch,loss,cls_loss,ra_loss,weighted_ra_loss,ra_loss_weight,lr
20,1,20,1.1764999628067017,0.6886268854141235,48.78730773925781,0.4878730773925781,0.01,0.0001
40,1,40,1.2396023273468018,0.7567489147186279,48.28533935546875,0.48285338282585144,0.01,0.0001
20,1,20,1.2338780164718628,0.7476668953895569,48.621116638183594,0.4862111508846283,0.01,0.0001
40,1,40,1.1901026964187622,0.7070464491844177,48.30562210083008,0.4830562174320221,0.01,0.0001
60,1,60,1.259521484375,0.792935848236084,46.65856170654297,0.46658560633659363,0.01,0.0001
80,1,80,1.2366445064544678,0.7733252048492432,46.331932067871094,0.4633193016052246,0.01,0.0001
100,1,100,1.1862010955810547,0.7105225920677185,47.56785583496094,0.47567853331565857,0.01,0.0001
120,1,120,0.9996392726898193,0.5454347133636475,45.42045593261719,0.4542045593261719,0.01,0.0001
140,1,140,1.1749770641326904,0.7126186490058899,46.23583984375,0.46235838532447815,0.01,0.0001
160,1,160,1.1058053970336914,0.6809689402580261,42.48365020751953,0.42483648657798767,0.01,0.0001
180,1,180,1.2384209632873535,0.775459885597229,46.296112060546875,0.4629611074924469,0.01,0.0001
200,1,200,1.1339995861053467,0.6520402431488037,48.19593048095703,0.4819592833518982,0.01,0.0001
220,1,220,1.0868806838989258,0.6172364950180054,46.96442413330078,0.4696442186832428,0.01,0.0001
240,1,240,1.1208410263061523,0.6724001169204712,44.84409713745117,0.4484409689903259,0.01,0.0001
260,1,260,1.0868539810180664,0.6612643003463745,42.55896759033203,0.4255896806716919,0.01,0.0001
280,1,280,1.0931425094604492,0.6930385231971741,40.010398864746094,0.40010398626327515,0.01,0.0001
300,1,300,1.1034778356552124,0.6924469470977783,41.103092193603516,0.41103091835975647,0.01,0.0001
320,1,320,1.0882396697998047,0.6920226216316223,39.62171173095703,0.39621710777282715,0.01,0.0001
340,1,340,1.0016741752624512,0.6125699877738953,38.91041564941406,0.3891041576862335,0.01,0.0001
360,1,360,1.0704905986785889,0.7050918340682983,36.53988265991211,0.3653988242149353,0.01,0.0001
380,1,380,1.105069637298584,0.6986209154129028,40.644874572753906,0.40644872188568115,0.01,0.0001
400,1,400,1.0226678848266602,0.6367483139038086,38.59196090698242,0.38591960072517395,0.01,0.0001
420,1,420,1.1139483451843262,0.7444835305213928,36.94647979736328,0.36946478486061096,0.01,0.0001
440,1,440,1.0110522508621216,0.6305796504020691,38.04725646972656,0.3804725706577301,0.01,0.0001
460,1,460,1.0814779996871948,0.6937814950942993,38.769649505615234,0.3876964747905731,0.01,0.0001
480,1,480,1.1651995182037354,0.6928505897521973,47.234893798828125,0.4723489284515381,0.01,0.0001
500,1,500,1.0885963439941406,0.6741582155227661,41.443817138671875,0.4144381582736969,0.01,0.0001
520,1,520,1.1615413427352905,0.768632173538208,39.290916442871094,0.3929091691970825,0.01,0.0001
540,1,540,1.0408108234405518,0.6683216094970703,37.24891662597656,0.37248915433883667,0.01,0.0001
560,1,560,1.0886528491973877,0.7059452533721924,38.270755767822266,0.38270753622055054,0.01,0.0001
580,1,580,0.8549613356590271,0.4865254759788513,36.84358596801758,0.3684358596801758,0.01,0.0001
600,1,600,1.0794036388397217,0.7118715047836304,36.753211975097656,0.3675321042537689,0.01,0.0001
620,1,620,1.047316074371338,0.692794919013977,35.452110290527344,0.35452109575271606,0.01,0.0001
640,1,640,0.9560198187828064,0.5907117128372192,36.53081130981445,0.36530810594558716,0.01,0.0001
660,1,660,0.9438541531562805,0.5721056461334229,37.17485046386719,0.37174850702285767,0.01,0.0001
680,1,680,0.987281322479248,0.6026884913444519,38.45928192138672,0.38459280133247375,0.01,0.0001
700,1,700,1.134099006652832,0.7538837194442749,38.021522521972656,0.38021522760391235,0.01,0.0001
720,1,720,1.0971367359161377,0.7109360694885254,38.62006759643555,0.3862006664276123,0.01,0.0001
740,1,740,0.9688655138015747,0.600165843963623,36.86996841430664,0.36869966983795166,0.01,0.0001
760,1,760,1.081363558769226,0.713483452796936,36.78800964355469,0.36788007616996765,0.01,0.0001
780,1,780,1.0170676708221436,0.660783052444458,35.628456115722656,0.35628455877304077,0.01,0.0001
800,1,800,0.8988915085792542,0.5308446884155273,36.804683685302734,0.3680468201637268,0.01,0.0001
820,1,820,1.0279533863067627,0.6549147367477417,37.303863525390625,0.3730386197566986,0.01,0.0001
840,1,840,0.9601813554763794,0.5952320098876953,36.49493408203125,0.3649493455886841,0.01,0.0001
860,1,860,0.9696192741394043,0.6059098839759827,36.370941162109375,0.36370939016342163,0.01,0.0001
880,1,880,0.9713295698165894,0.5876526832580566,38.3676872253418,0.3836768567562103,0.01,0.0001
900,1,900,1.0179407596588135,0.653930127620697,36.401065826416016,0.36401066184043884,0.01,0.0001
920,1,920,1.0751585960388184,0.6867753863334656,38.838321685791016,0.3883832097053528,0.01,0.0001
940,1,940,0.9789328575134277,0.6187152862548828,36.021759033203125,0.3602175712585449,0.01,0.0001
960,1,960,1.0449037551879883,0.6930645704269409,35.18392562866211,0.35183924436569214,0.01,0.0001
980,1,980,0.9418296813964844,0.5875290632247925,35.4300651550293,0.3543006479740143,0.01,0.0001
1000,1,1000,0.9495024681091309,0.5852886438369751,36.42137908935547,0.3642137944698334,0.01,0.0001
1020,1,1020,0.9792846441268921,0.6213541030883789,35.79305648803711,0.35793057084083557,0.01,0.0001
1040,1,1040,1.0070348978042603,0.6491587162017822,35.787620544433594,0.3578762114048004,0.01,0.0001
1060,1,1060,1.142898678779602,0.7824570536613464,36.04416275024414,0.3604416251182556,0.01,0.0001
1080,1,1080,0.9845399856567383,0.6073520183563232,37.71879577636719,0.37718793749809265,0.01,0.0001
1100,1,1100,1.0950171947479248,0.7280309200286865,36.69862365722656,0.3669862151145935,0.01,0.0001
1120,1,1120,0.972478985786438,0.6020281314849854,37.04508972167969,0.370450884103775,0.01,0.0001
1140,1,1140,1.0100383758544922,0.6280020475387573,38.203636169433594,0.38203635811805725,0.01,0.0001
1160,1,1160,0.9743446111679077,0.6233949661254883,35.09496307373047,0.35094961524009705,0.01,0.0001
1180,1,1180,0.93975830078125,0.588201105594635,35.155723571777344,0.3515572249889374,0.01,0.0001
1200,1,1200,0.9545026421546936,0.5861319899559021,36.837066650390625,0.3683706521987915,0.01,0.0001
1220,1,1220,0.871923565864563,0.5188024640083313,35.31211471557617,0.3531211316585541,0.01,0.0001
1240,1,1240,0.9589586853981018,0.604403018951416,35.45556640625,0.3545556664466858,0.01,0.0001
1260,1,1260,0.9753747582435608,0.6216107606887817,35.376399993896484,0.35376399755477905,0.01,0.0001
